Nama Bahan Makanan,Air,Energi,Protein,Lemak,Karbohidrat,Serat,Abu,Kalsium,Fosfor,Besi,Natrium,Kalium,Tembaga,Seng,Retinol,Beta-karoten,Karoten total,Vitamin B1,Vitamin B2,Niasin,Vitamin C,BDD,Mentah/Olahan,Kelompok Makanan
"Pork,Cured,Ham W/ Nat Juices,Slice,Bone-In,Ln & Fat,Unhtd",,159.0,22.82,7.4,0.17,,,9.0,,1.05,839.0,289.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham W/ Nat Juices,Shank,Bone-In,Ln & Fat,Unhtd",,191.0,22.35,11.11,0.29,,,6.0,,1.01,779.0,279.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham W/ Nat Juices,Rump,Bone-In,Ln & Fat,Unhtd",,200.0,19.7,13.26,0.42,,,8.0,,0.94,838.0,278.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham & H2o Product,Whl,Bnless,Ln & Fat,Unhtd",,117.0,14.05,4.99,4.0,,,8.0,,0.78,1308.0,267.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham & H2o Product,Slice,Bone-In,Ln & Fat,Unhtd",,149.0,13.69,9.29,2.72,,,8.0,,1.39,1099.0,205.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham & H2o Product,Shank,Bone-In,Ln & Fat,Unhtd",,243.0,14.28,20.0,1.42,,,6.0,,0.82,936.0,215.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham & H2o Product,Rump,Bone-In,Ln & Fat,Unhtd",,179.0,16.09,12.13,1.35,,,9.0,,0.64,990.0,213.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham -- H2o Added,Whl,Bnless,Ln & Fat,Unhtd",,121.0,17.06,5.38,1.2,,,8.0,,0.85,1126.0,312.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham -- H2o Added,Slice,Bone-In,Ln & Fat,Unhtd",,162.0,15.73,10.77,0.58,,,8.0,,0.98,1011.0,213.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham -- H2o Added,Shank,Bone-In,Ln & Fat,Unhtd",,167.0,16.65,11.02,0.33,,,7.0,,0.72,964.0,219.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham -- H2o Added,Rump,Bone-In,Ln & Fat,Unhtd",,172.0,13.99,12.5,0.8,,,6.0,,1.02,1069.0,199.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham -- H2o Added,Rump,Bone-In,Ln & Fat,Htd,Rstd",,161.0,20.1,8.56,0.99,,,8.0,,0.69,1101.0,244.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham -- H2o Added,Shank,Bone-In,Ln & Fat,Htd,Rstd",,200.0,18.62,13.37,1.35,,,9.0,,1.37,988.0,232.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham -- H2o Added,Slce,Bne-In,Ln & Fat,Htd,Pan-Brl",,166.0,20.8,8.73,1.12,,,11.0,,1.07,1309.0,280.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham -- H2o Added,Slce,Bnless,Ln & Fat,Htd,Pan-Brl",,125.0,18.62,5.05,1.26,,,9.0,,0.85,1212.0,334.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham -- H2o Added,Whl,Bnless,Ln & Fat,Htd,Rstd",,126.0,17.77,5.48,1.39,,,9.0,,0.82,1181.0,313.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham & H2o Product,Rump,Bone-In,Ln & Fat,Htd,Rstd",,186.0,19.46,11.48,1.15,,,10.0,,0.82,1181.0,254.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham & H2o Product,Shank,Bone-In,Ln & Fat,Htd,Rstd",,234.0,18.17,17.29,1.42,,,8.0,,1.0,945.0,216.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham & H2o Prdct,Slce,Bne-In,Ln & Fat,Htd,Pan-Brl",,155.0,19.85,7.78,1.41,,,11.0,,0.9,1188.0,281.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham & H2o Prdct,Slice,Bnless,Ln & Fat,Htd,Pan-Brl",,124.0,15.08,5.13,4.38,,,8.0,,0.74,1389.0,272.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham & H2o Product,Whl,Bnless,Ln & Fat,Htd,Rstd",,123.0,13.88,5.46,4.49,,,8.0,,0.74,1335.0,245.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham W/ Nat Juices,Rump,Bone-In,Ln & Fat,Htd,Rstd",,177.0,22.47,9.39,0.6,,,10.0,,0.99,841.0,477.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham W/ Nat Juices,Shank,Bone-In,Ln & Fat,Htd,Rstd",,191.0,22.88,10.93,0.26,,,7.0,,1.11,801.0,424.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham W/ Nat Juics,Slce,Bne-In,Ln & Fat,Htd,Pan-Brl",,180.0,26.18,8.28,0.17,,,12.0,,1.15,821.0,344.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham W/ Nat Juics,Slice,Bnles,Ln & Fat,Htd,Pan-Brl",,118.0,20.89,3.4,0.99,,,6.0,,0.93,1160.0,363.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham W/ Nat Jucs,Sprl Slce,Bnles,Ln & Fat,Htd,Rstd",,136.0,22.18,5.1,0.46,,,4.0,,0.83,977.0,345.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham W/ Nat Juices,Whl,Bnless,Ln & Fat,Htd,Rstd",,114.0,20.54,3.13,0.84,,,6.0,,0.84,1179.0,367.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham,Rump,Bone-In,Ln & Fat,Htd,Rstd",,177.0,23.95,8.88,0.37,,,7.0,,1.46,826.0,370.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham,Rump,Bone-In,Ln,Htd,Rstd",,132.0,26.02,3.07,0.15,,,8.0,,1.59,846.0,394.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham,Rump,Bone-In,Ln,Unhtd",,125.0,24.46,2.92,0.32,,,7.0,,1.08,737.0,385.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham,Shank,Bone-In,Ln,Htd,Rstd",,139.0,26.49,3.68,0.0,,,7.0,,1.54,828.0,378.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham,Shank,Bone-In,Ln,Unhtd",,125.0,23.79,3.19,0.18,,,6.0,,0.99,846.0,364.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham,Shank,Bone-In,Ln & Fat,Htd,Rstd",,183.0,24.39,9.35,0.24,,,7.0,,1.42,810.0,356.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham,Shank,Bone-In,Ln & Fat,Unhtd",,177.0,21.61,9.85,0.41,,,6.0,,0.92,816.0,339.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham,Slice,Bone-In,Ln & Fat,Htd,Pan-Broil",,180.0,25.48,8.48,0.39,,,14.0,,1.34,852.0,405.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham,Slice,Bone-In,Ln,Unhtd",,130.0,24.36,3.59,0.0,,,13.0,,1.23,760.0,370.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham,Slice,Bone-In,Ln & Fat,Unhtd",,173.0,22.45,9.17,0.21,,,12.0,,1.15,744.0,348.0,,,,,,,,,0.0,,,
"Pork,Frsh,Spareribs,Ln & Fat,Ckd,Rstd",,361.0,20.89,30.86,0.0,,,19.0,,1.43,91.0,265.0,,,,,,,,,0.0,,,
"Pork,Frsh,Enhanced,Comp Of Fat,Raw",,508.0,9.27,52.33,0.0,,,22.0,,0.47,81.0,191.0,,,,,,,,,0.0,,,
"Pork,Frsh,Enhanced,Loin,Tenderloin,Ln,Ckd,Rstd",,116.0,21.61,3.15,0.31,,,5.0,,0.98,231.0,567.0,,,,,,,,,0.0,,,
"Pork,Frsh,Enhanced,Loin,Tenderloin,Ln,Raw",,106.0,20.39,2.09,0.0,,,4.0,,0.92,243.0,527.0,,,,,,,,,0.0,,,
"Pork,Frsh,Enhced,Shldr,(Boston Butt),Blde (Stks),Ln,Ckd,Brsd",,227.0,27.58,12.14,0.0,,,26.0,,1.82,154.0,388.0,,,,,,,,,0.0,,,
"Pork,Frsh,Enhanced,Shldr,(Boston Butt),Blade (Steaks),Ln,Raw",,122.0,18.29,5.36,0.18,,,14.0,,1.04,165.0,419.0,,,,,,,,,0.0,,,
"Pork,Frsh,Enhanced,Loin,Top Loin (Chops),Bnless,Ln,Ckd,Brld",,131.0,24.81,3.53,0.0,,,5.0,,0.5,237.0,524.0,,,,,,,,,0.0,,,
"Pork,Frsh,Enhanced,Loin,Top Loin (Chops),Bnless,Ln,Raw",,110.0,21.78,2.51,0.0,,,5.0,,0.44,232.0,489.0,,,,,,,,,0.0,,,
"Pork,Frsh,Enhanced,Loin,Top Loin (Chops),Bnless,Ln & Fat,Raw",,123.0,21.35,4.21,0.0,,,5.0,,0.44,226.0,479.0,,,,,,,,,0.0,,,
"Pork,Frsh,Enhcd,Ln,Top Loin (Chops),Bnless,Ln & Fat,Ckd,Brld",,142.0,24.46,4.86,0.0,,,6.0,,0.51,234.0,517.0,,,,,,,,,0.0,,,
"Pork,Frsh,Enhanced,Loin,Tenderloin,Ln & Fat,Raw",,114.0,20.16,3.14,0.0,,,5.0,,0.91,239.0,519.0,,,,,,,,,0.0,,,
"Pork,Frsh,Enhanced,Loin,Tenderloin,Ln & Fat,Ckd,Rstd",,121.0,21.5,3.7,0.31,,,5.0,,0.97,230.0,563.0,,,,,,,,,0.0,,,
"Pork,Frsh,Enhcd,Shldr,(Boston Butt),Blde (Stks),Ln & Fat,Raw",,169.0,17.19,11.12,0.16,,,15.0,,0.97,155.0,391.0,,,,,,,,,0.0,,,
"Pork,Frsh,Enhced,Shldr,(Bstn Butt),Blde(Stks),Ln&Fat,Brsd",,263.0,25.84,16.94,0.03,,,27.0,,1.72,151.0,370.0,,,,,,,,,0.0,,,
"Pork,Cured,Ham,Rump,Bone-In,Ln & Fat,Unhtd",,176.0,22.27,9.38,0.52,,,7.0,,1.01,722.0,358.0,,,,,,,,,0.0,,,
"Pork,Loin,Leg Cap Steak,Bnless,Ln & Fat,Ckd,Brld",,158.0,27.57,4.41,0.0,,,7.0,,0.97,76.0,366.0,,,,,,,,,0.0,,,
"Pork,Leg Cap Steak,Bnless,Ln & Fat,Raw",,123.0,21.64,3.39,0.0,,,7.0,,0.84,73.0,365.0,,,,,,,,,0.0,,,
"Pork,Shldr Breast,Bnless,Ln & Fat,Raw",,127.0,22.54,3.4,0.0,,,7.0,,0.89,54.0,378.0,,,,,,,,,0.0,,,
"Pork,Shldr Breast,Bnless,Ln & Fat,Ckd,Brld",,162.0,28.47,4.49,0.0,,,7.0,,0.92,54.0,364.0,,,,,,,,,0.0,,,
"Pork,Shldr,Petite Tender,Bnless,Ln & Fat,Ckd,Brld",,155.0,27.47,4.23,0.0,,,8.0,,1.25,53.0,415.0,,,,,,,,,0.0,,,
"Pork,Shldr Petite Tender,Bnless,Ln & Fat,Raw",,128.0,21.65,3.91,0.0,,,6.0,,1.07,50.0,391.0,,,,,,,,,0.0,,,
"Pork,Leg Sirloin Tip Rst,Bnless,Ln & Fat,Ckd,Brsd",,156.0,31.11,2.56,0.0,,,5.0,,1.06,43.0,363.0,,,,,,,,,0.0,,,
"Pork,Leg Sirloin Tip Rst,Bnless,Ln & Fat,Raw",,113.0,22.88,1.71,0.0,,,5.0,,0.8,50.0,399.0,,,,,,,,,0.0,,,
"Pork,Ground,72% Ln / 28% Fat,Raw",,314.0,14.87,28.0,0.66,,,16.0,,0.9,69.0,178.0,,,,,,,,,0.0,,,
"Pork,Ground,84% Ln / 16% Fat,Raw",,218.0,17.99,16.0,0.44,,,15.0,,0.88,68.0,244.0,,,,,,,,,0.0,,,
"Pork,Ground,96% Ln / 4% Fat,Raw",,121.0,21.1,4.0,0.21,,,15.0,,0.86,67.0,310.0,,,,,,,,,0.0,,,
"Pork,Ground,72% Ln / 28% Fat,Ckd,Crumbles",,393.0,22.83,32.93,1.39,,,20.0,,1.15,94.0,280.0,,,,,,,,,0.0,,,
"Pork,Ground,84% Ln / 16% Fat,Ckd,Crumbles",,289.0,26.69,20.04,0.58,,,20.0,,1.1,89.0,354.0,,,,,,,,,0.0,,,
"Pork,Ground,96% Ln / 4% Fat,Ckd,Crumbles",,187.0,30.55,7.15,0.0,,,19.0,,1.05,84.0,428.0,,,,,,,,,0.0,,,
"Pork,Ground,72% Ln / 28% Fat,Ckd,Pan-Broiled",,377.0,22.59,31.42,1.08,,,20.0,,1.21,91.0,275.0,,,,,,,,,0.0,,,
"Pork,Ground,84% Ln / 16% Fat,Ckd,Pan-Broiled",,301.0,27.14,21.39,0.0,,,20.0,,1.16,89.0,345.0,,,,,,,,,0.0,,,
"Pork,Ground,96% Ln / 4% Fat,Ckd,Pan-Broiled",,185.0,31.69,6.2,0.57,,,20.0,,1.11,88.0,415.0,,,,,,,,,0.0,,,
"Pork,Frsh,Loin,Blade (Chops Or Roasts),Bnless,Ln,Raw",,123.0,21.35,3.78,0.82,,,6.0,,0.77,65.0,375.0,,,,,,,,,0.0,,,
"Pork,Frsh,Loin,Blade (Roasts),Bnless,Ln,Ckd,Rstd",,175.0,27.58,7.14,0.0,,,11.0,,0.92,68.0,457.0,,,,,,,,,0.0,,,
"Pork,Frsh,Loin,Blade (Chops),Bnless,Ln,Bnless,Ckd,Brld",,169.0,26.14,6.74,0.89,,,7.0,,0.92,58.0,430.0,,,,,,,,,0.0,,,
"Pork,Frsh,Loin,Country-Style Ribs,Ln,Bnless,Ckd,Brld",,216.0,27.83,11.65,0.0,,,7.0,,0.92,58.0,431.0,,,,,,,,,0.0,,,
"Pork,Frsh,Loin,Country-Style Ribs,Ln,Bone-In,Ckd,Brld",,216.0,27.83,11.65,0.0,,,61.0,,1.02,84.0,370.0,,,,,,,,,0.0,,,
"Pork,Frsh,Loin,Country-Style Ribs,Ln,Bnless,Ckd,Rstd",,219.0,29.2,11.38,0.0,,,12.0,,0.98,72.0,486.0,,,,,,,,,0.0,,,
"Pork,Frsh,Blade,(Chops),Bnless,Ln & Fat,Ckd,Brld",,202.0,24.73,11.13,0.83,,,8.0,,0.89,58.0,407.0,,,,,,,,,0.0,,,
"Pork,Frsh,Loin,Blde (Chops Or Roast),Bnless,Ln & Fat Oly,Raw",,157.0,20.54,7.94,0.76,,,6.0,,0.74,64.0,372.0,,,,,,,,,0.0,,,
"Pork,Frsh,Loin,Blade (Roasts),Bnless,Ln & Fat,Ckd,Rstd",,199.0,26.48,10.32,0.0,,,12.0,,0.89,67.0,439.0,,,,,,,,,0.0,,,
"Pork,Frsh,Loin,Country-Style Ribs,Ln & Fat,Bnless,Ckd,Brld",,247.0,26.28,15.73,0.0,,,8.0,,0.89,58.0,408.0,,,,,,,,,0.0,,,
"Pork,Frsh,Loin,Country-Style Ribs,Ln & Fat,Bone-In,Ckd,Brld",,260.0,25.58,17.56,0.0,,,57.0,,0.96,81.0,344.0,,,,,,,,,0.0,,,
"Pork,Frsh,Loin,Country-Style Ribs,Ln & Fat,Bnless,Ckd,Rstd",,270.0,26.4,18.31,0.0,,,13.0,,0.91,70.0,441.0,,,,,,,,,0.0,,,
"Alfalfa Seeds,Sprouted,Raw",,23.0,3.99,0.69,2.1,,,32.0,,0.96,6.0,79.0,,,,,,,,,8.2,,,
"Amaranth Leaves,Raw",,23.0,2.46,0.33,4.02,,,215.0,,2.32,20.0,611.0,,,,,,,,,43.3,,,
"Amaranth Leaves,Ckd,Bld,Drnd,Wo/Salt",,21.0,2.11,0.18,4.11,,,209.0,,2.26,21.0,641.0,,,,,,,,,41.1,,,
"Arrowhead,Raw",,99.0,5.33,0.29,20.23,,,10.0,,2.57,22.0,922.0,,,,,,,,,1.1,,,
"Arrowhead,Ckd,Bld,Drnd,Wo/Salt",,78.0,4.49,0.1,16.14,,,7.0,,1.21,18.0,881.0,,,,,,,,,0.3,,,
"Artichokes,(Globe Or French),Raw",,47.0,3.27,0.15,10.51,,,44.0,,1.28,94.0,370.0,,,,,,,,,11.7,,,
"Artichokes,(Globe Or French),Ckd,Bld,Drnd,Wo/Salt",,53.0,2.89,0.34,11.95,,,21.0,,0.61,60.0,286.0,,,,,,,,,7.4,,,
"Artichokes,(Globe Or French),Frz,Unprep",,38.0,2.63,0.43,7.76,,,19.0,,0.5,47.0,248.0,,,,,,,,,5.3,,,
"Artichokes,(Globe Or French),Frz,Ckd,Bld,Drnd,Wo/Salt",,45.0,3.11,0.5,9.18,,,21.0,,0.56,53.0,264.0,,,,,,,,,5.0,,,
"Asparagus,Raw",,20.0,2.2,0.12,3.88,,,24.0,,2.14,2.0,202.0,,,,,,,,,5.6,,,
"Asparagus,Ckd,Bld,Drnd",,22.0,2.4,0.22,4.11,,,23.0,,0.91,14.0,224.0,,,,,,,,,7.7,,,
"Asparagus,Cnd,Reg Pk,Sol&Liquids",,15.0,1.8,0.18,2.47,,,15.0,,0.6,284.0,172.0,,,,,,,,,16.5,,,
"Asparagus,Cnd,Drnd Sol",,19.0,2.14,0.65,2.46,,,16.0,,1.83,287.0,172.0,,,,,,,,,18.4,,,
"Asparagus,Frz,Unprep",,24.0,3.23,0.23,4.1,,,25.0,,0.73,8.0,253.0,,,,,,,,,31.8,,,
"Asparagus,Frz,Ckd,Bld,Drnd,Wo/Salt",,18.0,2.95,0.42,1.92,,,18.0,,0.56,3.0,172.0,,,,,,,,,24.4,,,
"Balsam-Pear (Bitter Gourd),Leafy Tips,Raw",,30.0,5.3,0.69,3.29,,,84.0,,2.04,11.0,608.0,,,,,,,,,88.0,,,
"Balsam-Pear (Bitter Gourd),Leafy Tips,Ckd,Bld,Drnd,Wo/Salt",,34.0,3.6,0.2,6.68,,,42.0,,1.02,13.0,602.0,,,,,,,,,55.6,,,
"Balsam-Pear (Bitter Gourd),Pods,Raw",,17.0,1.0,0.17,3.7,,,19.0,,0.43,5.0,296.0,,,,,,,,,84.0,,,
"Balsam-Pear (Bitter Gourd),Pods,Ckd,Bld,Drnd,Wo/Salt",,19.0,0.84,0.18,4.32,,,9.0,,0.38,6.0,319.0,,,,,,,,,33.0,,,
"Bamboo Shoots,Raw",,27.0,2.6,0.3,5.2,,,13.0,,0.5,4.0,533.0,,,,,,,,,4.0,,,
"Bamboo Shoots,Ckd,Bld,Drnd,Wo/Salt",,12.0,1.53,0.22,1.92,,,12.0,,0.24,4.0,533.0,,,,,,,,,0.0,,,
"Bamboo Shoots,Cnd,Drnd Sol",,19.0,1.72,0.4,3.22,,,8.0,,0.32,7.0,80.0,,,,,,,,,1.1,,,
"Beans,Kidney,Mature Seeds,Sprouted,Raw",,29.0,4.2,0.5,4.1,,,17.0,,0.81,6.0,187.0,,,,,,,,,38.7,,,
"Beans,Kidney,Mature Seeds,Sprouted,Ckd,Bld,Drnd,Wo/Salt",,33.0,4.83,0.58,4.72,,,19.0,,0.89,7.0,194.0,,,,,,,,,35.6,,,
"Lima Bns,Immat Seeds,Raw",,113.0,6.84,0.86,20.17,,,34.0,,3.14,8.0,467.0,,,,,,,,,23.4,,,
"Lima Bns,Immat Seeds,Ckd,Bld,Drnd,Wo/Salt",,123.0,6.81,0.32,23.64,,,32.0,,2.45,17.0,570.0,,,,,,,,,10.1,,,
"Beans,Lima,Immat Seeds,Cnd,Reg Pk,Sol&Liquids",,71.0,4.07,0.29,13.33,,,28.0,,1.61,252.0,285.0,,,,,,,,,7.3,,,
"Lima Bns,Immat Seeds,Frz,Fordhook,Unprep",,106.0,6.4,0.35,19.83,,,24.0,,1.51,58.0,478.0,,,,,,,,,19.3,,,
"Lima Bns,Immat Seeds,Frz,Fordhook,Ckd,Bld,Drnd,Wo/Salt",,103.0,6.07,0.34,19.32,,,30.0,,1.82,69.0,304.0,,,,,,,,,12.8,,,
"Lima Bns,Immat Seeds,Frz,Baby,Unprep",,132.0,7.59,0.44,25.14,,,35.0,,2.21,52.0,452.0,,,,,,,,,8.3,,,
"Lima Bns,Immat Seeds,Frz,Baby,Ckd,Bld,Drnd,Wo/Salt",,105.0,6.65,0.3,19.45,,,28.0,,1.96,29.0,411.0,,,,,,,,,5.8,,,
"Mung Bns,Mature Seeds,Sprouted,Raw",,30.0,3.04,0.18,5.94,,,13.0,,0.91,6.0,149.0,,,,,,,,,13.2,,,
"Mung Bns,Mature Seeds,Sprouted,Ckd,Bld,Drnd,Wo/Salt",,21.0,2.03,0.09,4.19,,,12.0,,0.65,10.0,101.0,,,,,,,,,11.4,,,
"Mung Bns,Mature Seeds,Sprouted,Ckd,Stir-Fried",,50.0,4.3,0.21,10.59,,,13.0,,1.9,9.0,219.0,,,,,,,,,16.0,,,
"Beans,Navy,Mature Seeds,Sprouted,Raw",,67.0,6.15,0.7,13.05,,,15.0,,1.93,13.0,307.0,,,,,,,,,18.8,,,
"Beans,Navy,Mature Seeds,Sprouted,Ckd,Bld,Drnd,Wo/Salt",,78.0,7.07,0.81,15.01,,,16.0,,2.11,14.0,317.0,,,,,,,,,17.3,,,
"Beans,Pinto,Immat Seeds,Frz,Unprep",,170.0,9.8,0.5,32.5,,,58.0,,3.0,92.0,756.0,,,,,,,,,1.0,,,
"Beans,Pinto,Immat Seeds,Frz,Ckd,Bld,Drnd,Wo/Salt",,162.0,9.31,0.48,30.88,,,52.0,,2.71,83.0,646.0,,,,,,,,,0.7,,,
"Beans,Shellie,Cnd,Sol & Liquids",,30.0,1.76,0.19,6.19,,,29.0,,0.99,334.0,109.0,,,,,,,,,3.1,,,
"Beans,Snap,Green,Raw",,31.0,1.83,0.22,6.97,,,37.0,,1.03,6.0,211.0,,,,,,,,,12.2,,,
"Beans,Snap,Grn,Ckd,Bld,Drnd,Wo/Salt",,35.0,1.89,0.28,7.88,,,44.0,,0.65,1.0,146.0,,,,,,,,,9.7,,,
"Beans,Snap,Grn Var,Cnd,Reg Pk,Sol&Liquids",,15.0,0.72,0.17,3.27,,,29.0,,1.02,192.0,92.0,,,,,,,,,2.2,,,
"Beans,Snap,Grn,Cnd,Reg Pk,Drnd Sol",,25.0,1.26,0.37,4.25,,,38.0,,0.88,246.0,106.0,,,,,,,,,2.7,,,
"Beans,Snap,Cnd,All Styles,Seasoned,Sol&Liquids",,16.0,0.83,0.2,3.49,,,22.0,,0.47,373.0,93.0,,,,,,,,,3.1,,,
"Beans,Snap,Grn,Frz,All Styles,Unprep",,39.0,1.79,0.21,7.54,,,42.0,,0.85,3.0,186.0,,,,,,,,,12.9,,,
"Beans,Snap,Grn,Frz,Ckd,Bld,Drnd Wo/Salt",,28.0,1.49,0.17,6.45,,,42.0,,0.66,1.0,159.0,,,,,,,,,4.1,,,
"Beans,Snap,Grn,Frz,All Styles,Microwaved",,40.0,1.98,0.41,6.98,,,61.0,,0.8,3.0,237.0,,,,,,,,,11.0,,,
"Beans,Snap,Grn,Microwaved",,39.0,2.31,0.5,6.41,,,55.0,,0.83,3.0,323.0,,,,,,,,,7.3,,,
"Beets,Raw",,43.0,1.61,0.17,9.56,,,16.0,,0.8,78.0,325.0,,,,,,,,,4.9,,,
"Beets,Ckd,Bld,Drnd",,44.0,1.68,0.18,9.96,,,16.0,,0.79,77.0,305.0,,,,,,,,,3.6,,,
"Beets,Cnd,Reg Pk,Sol&Liquids",,30.0,0.73,0.09,7.14,,,18.0,,0.73,143.0,159.0,,,,,,,,,2.8,,,
"Beets,Cnd,Drnd Sol",,31.0,0.91,0.14,7.21,,,15.0,,1.82,194.0,148.0,,,,,,,,,4.1,,,
"Beet Greens,Raw",,22.0,2.2,0.13,4.33,,,117.0,,2.57,226.0,762.0,,,,,,,,,30.0,,,
"Beet Grns,Ckd,Bld,Drnd,Wo/Salt",,27.0,2.57,0.2,5.46,,,114.0,,1.9,241.0,909.0,,,,,,,,,24.9,,,
"Broadbeans,Immat Seeds,Raw",,72.0,5.6,0.6,11.7,,,22.0,,1.9,50.0,250.0,,,,,,,,,33.0,,,
"Broadbeans,Immat Seeds,Ckd,Bld,Drnd,Wo/Salt",,62.0,4.8,0.5,10.1,,,18.0,,1.5,41.0,193.0,,,,,,,,,19.8,,,
"Broccoli,Raw",,34.0,2.82,0.37,6.64,,,47.0,,0.73,33.0,316.0,,,,,,,,,89.2,,,
"Broccoli,Ckd,Bld,Drnd,Wo/Salt",,35.0,2.38,0.41,7.18,,,40.0,,0.67,41.0,293.0,,,,,,,,,64.9,,,
"Broccoli,Frz,Chopd,Unprep",,26.0,2.81,0.29,4.78,,,56.0,,0.81,24.0,212.0,,,,,,,,,56.4,,,
"Broccoli,Frz,Chopd,Ckd,Bld,Drnd,Wo/Salt",,28.0,3.1,0.12,5.35,,,33.0,,0.61,11.0,142.0,,,,,,,,,40.1,,,
"Broccoli,Frz,Spears,Unprep",,29.0,3.06,0.34,5.35,,,41.0,,0.72,17.0,250.0,,,,,,,,,68.3,,,
"Broccoli,Frz,Spears,Ckd,Bld,Drnd,Wo/Salt",,28.0,3.1,0.11,5.36,,,51.0,,0.61,24.0,180.0,,,,,,,,,40.1,,,
"Broccoli Raab,Raw",,22.0,3.17,0.49,2.85,,,108.0,,2.14,33.0,196.0,,,,,,,,,20.2,,,
"Broccoli Raab,Ckd",,33.0,3.83,0.52,3.12,,,118.0,,1.27,56.0,343.0,,,,,,,,,37.0,,,
"Brussels Sprouts,Raw",,43.0,3.38,0.3,8.95,,,42.0,,1.4,25.0,389.0,,,,,,,,,85.0,,,
"Brussels Sprouts,Ckd,Bld,Drnd,Wo/Salt",,36.0,2.55,0.5,7.1,,,36.0,,1.2,21.0,317.0,,,,,,,,,62.0,,,
"Brussels Sprouts,Frz,Unprep",,41.0,3.78,0.41,7.86,,,26.0,,0.93,10.0,370.0,,,,,,,,,74.1,,,
"Brussels Sprouts,Frz,Ckd,Bld,Drnd,Wo/Salt",,42.0,3.64,0.39,8.32,,,26.0,,0.48,15.0,290.0,,,,,,,,,45.7,,,
"Burdock Root,Raw",,72.0,1.53,0.15,17.34,,,41.0,,0.8,5.0,308.0,,,,,,,,,3.0,,,
"Burdock Root,Ckd,Bld,Drnd,Wo/Salt",,88.0,2.09,0.14,21.15,,,49.0,,0.77,4.0,360.0,,,,,,,,,2.6,,,
"Butterbur,(Fuki),Raw",,14.0,0.39,0.04,3.61,,,103.0,,0.1,7.0,655.0,,,,,,,,,31.5,,,
"Butterbur,Ckd,Bld,Drnd,Wo/Salt",,8.0,0.23,0.02,2.16,,,59.0,,0.1,4.0,354.0,,,,,,,,,18.9,,,
"Butterbur,Canned",,3.0,0.11,0.13,0.38,,,34.0,,0.63,4.0,12.0,,,,,,,,,11.9,,,
"Cabbage,Raw",,25.0,1.28,0.1,5.8,,,40.0,,0.47,18.0,170.0,,,,,,,,,36.6,,,
"Cabbage,Ckd,Bld,Drnd,Wo/Salt",,23.0,1.27,0.06,5.51,,,48.0,,0.17,8.0,196.0,,,,,,,,,37.5,,,
"Cabbage,Red,Raw",,31.0,1.43,0.16,7.37,,,45.0,,0.8,27.0,243.0,,,,,,,,,57.0,,,
"Cabbage,Red,Ckd,Bld,Drnd,Wo/Salt",,29.0,1.51,0.09,6.94,,,42.0,,0.66,28.0,262.0,,,,,,,,,34.4,,,
"Cabbage,Savoy,Raw",,27.0,2.0,0.1,6.1,,,35.0,,0.4,28.0,230.0,,,,,,,,,31.0,,,
"Cabbage,Savoy,Ckd,Bld,Drnd,Wo/Salt",,24.0,1.8,0.09,5.41,,,30.0,,0.38,24.0,184.0,,,,,,,,,17.0,,,
"Cabbage,Chinese (Pak-Choi),Raw",,13.0,1.5,0.2,2.18,,,105.0,,0.8,65.0,252.0,,,,,,,,,45.0,,,
