Nama Bahan Makanan,Air,Energi,Protein,Lemak,Karbohidrat,Serat,Abu,Kalsium,Fosfor,Besi,Natrium,Kalium,Tembaga,Seng,Retinol,Beta-karoten,Karoten total,Vitamin B1,Vitamin B2,Niasin,Vitamin C,BDD,Mentah/Olahan,Kelompok Makanan
Keripik bayam,2.3,586.0,4.9,40.6,50.2,0.5,1.9,236.0,117.0,3.6,,,,,,,4.544,0.16,,,,100.0,Olahan,Sayur
"Ketimun krai, segar",96.8,10.0,0.5,0.2,2.0,0.6,0.5,20.0,98.0,1.0,10.0,82.1,0.03,0.1,,19.0,21.0,0.02,0.03,0.1,3.0,82.0,Tunggal,Sayur
"Ketimun madura, segar",97.1,9.0,0.5,0.1,1.9,0.7,0.4,15.0,102.0,0.6,2.0,78.9,0.02,0.1,,25.0,,0.02,0.02,0.1,5.0,89.0,Tunggal,Sayur
"Ketimun, segar",97.9,8.0,0.2,0.2,1.4,0.3,0.3,29.0,95.0,0.8,2.0,57.1,0.02,0.1,,18.0,314.0,0.01,0.02,0.1,1.0,55.0,Tunggal,Sayur
Ketoprak,69.1,153.0,7.9,7.7,13.0,2.9,2.6,153.0,134.0,3.4,,,,,3.0,,435.0,0.05,,,,100.0,Olahan,Serealia
Kulit melinjo,71.9,111.0,4.5,1.1,20.7,5.0,1.8,117.0,179.0,2.6,,,,,,,1.267,0.07,,,7.0,100.0,Tunggal,Sayur
"Lawar babi, masakan",68.8,174.0,17.0,10.0,3.0,,1.2,61.0,141.0,3.0,,,,,,,,0.1,,,,100.0,Olahan,Daging
"Lawar penyu, masakan",66.3,141.0,23.0,1.5,7.6,,1.6,69.0,141.0,6.0,,,,,,,,0.1,,,,100.0,Olahan,Daging
"Paria putih, kukus",95.0,16.0,0.8,0.2,3.4,1.2,0.6,16.0,33.0,0.5,4.0,236.0,,0.7,,187.0,65.0,0.15,0.04,0.3,35.0,100.0,Olahan,Sayur
"Paria putih, segar",94.4,19.0,1.0,0.4,3.6,1.3,0.6,31.0,65.0,0.9,5.0,277.7,0.03,0.8,,197.0,80.0,0.18,0.04,0.4,58.0,80.0,Tunggal,Sayur
"Penyu, serapah, masakan",71.3,174.0,13.1,12.2,2.2,,1.2,72.0,186.0,9.5,,507.0,0.8,2.4,1.302,,,,,,,100.0,Olahan,Daging
"Rawon, masakan",86.0,60.0,5.4,2.5,4.0,0.3,1.7,272.0,153.0,3.3,,,,,11.0,,1.235,0.09,,,,100.0,Olahan,Daging
"Rendang sapi, masakan",57.9,193.0,22.6,7.9,7.8,,3.8,474.0,211.0,14.9,,,,,21.0,,534.0,0.12,,,,100.0,Olahan,Daging
Rujak cingur,70.1,153.0,11.3,8.4,8.0,1.4,1.4,256.0,143.0,4.4,,,,,18.0,,2.88,0.16,,,2.0,100.0,Olahan,Sayur
"Sapi, abon",7.1,212.0,18.0,10.6,59.3,7.5,4.7,150.0,209.0,12.3,,,,,,240.0,138.0,0.17,,,,100.0,Olahan,Daging
"Sapi, abon, asli",24.8,358.0,14.6,16.1,38.6,2.5,5.8,165.0,136.0,14.6,,,,,3.0,194.0,144.0,0.13,,,,100.0,Olahan,Daging
"Sate, penyu, masakan",57.4,179.0,22.5,3.5,13.3,,3.3,187.0,238.0,14.4,,,,,,,,0.1,,,,100.0,Olahan,Daging
"Sawi putih / pecai, segar",96.6,9.0,1.0,0.1,1.7,0.8,0.6,56.0,42.0,1.1,5.0,193.1,0.05,0.1,,862.0,832.0,0.05,0.18,0.4,3.0,79.0,Tunggal,Sayur
Sayur asem,93.2,29.0,0.7,0.6,5.0,0.6,0.8,40.0,61.0,3.1,,,,,14.0,,2.075,0.1,,,0.3,100.0,Olahan,Sayur
Sayur sop,92.7,27.0,1.3,2.0,1.0,0.3,2.7,168.0,57.0,1.8,,,,,20.0,,2.569,0.1,,,0.2,100.0,Olahan,Sayur
"Selada air, segar",93.3,17.0,3.1,0.2,2.2,0.7,1.2,95.0,152.0,2.4,65.0,260.7,0.11,0.2,,1.23,3.727,0.09,0.14,0.7,56.0,70.0,Tunggal,Sayur
"Selada, rebus",93.5,19.0,2.7,0.2,2.9,0.7,0.7,83.0,74.0,1.4,24.0,160.7,0.05,0.3,,2.499,3.7,0.08,0.2,0.6,27.0,100.0,Olahan,Sayur
"Soto bandung, masakan",89.9,42.0,3.9,1.7,2.8,0.4,1.8,74.0,75.0,1.8,,,,,6.0,20.0,0.1,,,,,100.0,Olahan,Daging
